100m,9.63,Usain,Bolt,Jamaica,2012 London
200m,19.30,Usain,Bolt,Jamaica,2008 Beijing
400m,43.03,Wayde,van Niekerk,South Africa,2016 Rio de Janeiro
800m,1:40.91,David,Rudisha,Kenya,2012 London
1500m,3:32.07,Noah Kiprono,NGENYI,Kenya,2000 Sydney
5000m,12:57.82,Kenenisa,Bekele,Ethiopia,2008 Beijing
10000m,27:01.17,Kenenisa,Bekele,Ethiopia,2008 Beijing
marathon,2:06:32,Samuel Kamau,WANSIRU,Kenya,2008 Beijing
110m hurdles,12.91,Xiang,Liu,China,2004 Athens
400m hurdles,46.78,Kevin Curtis,Young,United States,1992 Barcelona
3000m steeplechase,8:03.28,Conseslus,Kipruto,Kenya,2016 Rio de Janeiro
4×100m relay,36.84,Nesta,Carter,Jamaica,2012 London
4×400m relay,2:55.39,LaShawn,Merritt,United States,2008 Beijing
20km walk,1:18:46,Chen,Ding,China,2012 London
50km walk,3:36:53,Jared,Tallent,Australia,2012 London
high jump,2.39 m,Charles,Austin,United States,1996 Atlanta
long jump,8.90 m,Bob,Beamon,United States,1968 Mexico City
pole vault,6.03 m,Thiago,Braz da Silva,Brazil,2016 Rio de Janeiro
triple jump,18.09 m,Kenny,Harrison,United States,1996 Atlanta
shot put,22.52 m,Ryan,Crouser,United States,2016 Rio de Janeiro
discus throw,69.89 m,Virgilijus,Alekna,Lithuania,2004 Athens
hammer throw,84.80 m,Sergey,Litvinov,Soviet Union,1988 Seoul
javelin throw,90.57 m,Andreas,Thorkildsen,Norway,2008 Beijing
decathlon,8893 pts,Ashton,Eaton,United States,2016 Rio de Janeiro
100m,10.62,Florence,Griffith-Joyner,United States,1988 Seoul
200m,21.34,Florence,Griffith-Joyner,United States,1988 Seoul
400m,48.25,Marie-Jose,Perec,France,1996 Atlanta
800m,1:53.43,Nadezhda,Olizarenko,Soviet Union,1980 Moscow
1500m,3:53.96,Paula,Ivan,Romania,1988 Seoul
5000m,14:26.17,Vivian,Cheruiyot,Kenya,2016 Rio de Janeiro
10000m,29:17.45,Almaz,Ayana,Ethiopia,2016 Rio de Janeiro
marathon,2:23:07,Tiki,Gelana,Ethiopia,2012 London
100m hurdles,12.35,Sally,Pearson,Australia,2012 London
400m hurdles,52.64,Melaine,Walker,Jamaica,2008 Beijing
3000m steeplechase,8:58.81,Gulnara,Galkina-Samitova,Russia,2008 Beijing
4×100m relay,40.82,Tianna,Madison,United States,2012 London
4×400m relay,3:15.17,Tatiana,Ledovskaya,Soviet Union,1988 Seoul
20km walk,1:25:02,Elena,Lashmanova,Russia,2012 London
high jump,2.06 m,elena,Slesarenko,Russia,2004 Athens
long jump,7.40 m,Jackie,Joyner-Kersee,United States,1988 Seoul
pole vault,5.05 m,Elena,Isinbayeva,Russia,2008 Beijing
triple jump,15.39 m,Francoise,Mbango Etone,Cameroon,2008 Beijing
shot put,22.41 m,Ilona,Slupianek,East Germany,1980 Moscow
discus throw,72.30 m,Martina,Hellmann,East Germany,1988 Seoul
hammer throw,82.29 m,Anita,Wlodarczyk,Poland,2016 Rio de Janeiro
javelin throw,71.53 m,Osleidys,Menendez,Cuba,2004 Athens
heptathlon,7291 pts,Jackie,Joyner-Kersee,United States,1988 Seoul
